"","...1","Player","Position 1","Position 2","Age","Team","Games Played","Field Goal Percentage","3 Point Percentage","2 Point Percentage","Free Throw Percentage","Offensive Rebounds Per Game","Defensive Rebounds Per Game","Assists Per Game","Steals Per Game","Blocks Per Game","Points Per Game","Average Fantasy Points","Total Fantasy Points"
"578",776,"Derrick White","SG",NA,27,"TOT",75,0.421,0.312,0.515,0.864,0.5,3,4.9,0.9,0.8,13.2,30.8,2310
"579",779,"Hassan Whiteside","C",NA,32,"UTA",65,0.652,0,0.652,0.623,2.6,5,0.4,0.3,1.6,8.2,22.95,1491.75
"580",780,"Joe Wieskamp","SG",NA,22,"SAS",29,0.357,0.326,0.462,0.538,0.1,0.3,0.3,0.1,0.1,2.1,3.68,106.72
"581",781,"Aaron Wiggins","SG",NA,23,"OKC",50,0.463,0.304,0.573,0.729,1,2.5,1.4,0.6,0.2,8.3,17.13,856.5
"582",782,"Andrew Wiggins","SF",NA,26,"GSW",73,0.466,0.393,0.513,0.634,1.2,3.3,2.2,1,0.7,17.2,31.175,2275.775
"583",783,"Lindell Wigginton","PG",NA,23,"MIL",19,0.426,0.346,0.486,0.543,0.2,1.2,1.2,0.3,0.1,4.2,9.11,173.09
"584",784,"Brandon Williams","PG",NA,22,"POR",24,0.372,0.292,0.42,0.701,0.8,2.3,3.9,1,0.4,12.9,27.405,657.72
"585",785,"Grant Williams","PF",NA,23,"BOS",77,0.475,0.411,0.569,0.905,0.8,2.7,1,0.5,0.7,7.8,16.895,1300.915
"586",786,"Kenrich Williams","SF",NA,27,"OKC",49,0.461,0.339,0.536,0.545,1.5,3,2.2,0.9,0.2,7.4,19.465,953.785
"587",787,"Lou Williams","PG",NA,35,"ATL",56,0.391,0.363,0.404,0.859,0.3,1.3,1.9,0.5,0.1,6.3,13.25,742
"588",788,"Patrick Williams","PF",NA,20,"CHI",17,0.529,0.517,0.534,0.732,1,3.1,0.9,0.5,0.5,9,18.18,309.06
"589",789,"Robert Williams","C",NA,24,"BOS",61,0.736,0,0.738,0.722,3.9,5.7,2,0.9,2.2,10,32.93,2008.73
"590",790,"Ziaire Williams","SF",NA,20,"MEM",62,0.45,0.314,0.632,0.782,0.4,1.7,1,0.6,0.2,8.1,14.51,899.62
"591",791,"D.J. Wilson","PF",NA,25,"TOR",4,0.733,0,0.846,0.8,0.3,3.8,1.3,1.3,0.3,7.5,18.375,73.5
"592",792,"Dylan Windler","SF",NA,25,"CLE",50,0.378,0.3,0.571,0.833,0.4,1.4,0.7,0.3,0.1,2.2,6.565,328.25
"593",793,"Justise Winslow","SF",NA,25,"TOT",48,0.428,0.227,0.497,0.591,1,3.2,1.8,0.7,0.5,5.7,16.895,810.96
"594",796,"Cassius Winston","PG",NA,23,"WAS",7,0.364,0.333,0.4,1,0,0.1,1,0,0,2,4.065,28.455
"595",797,"Christian Wood","C",NA,26,"HOU",68,0.501,0.39,0.57,0.623,1.6,8.5,2.3,0.8,1,17.9,38.925,2646.9
"596",798,"Robert Woodard II","SF",NA,22,"SAC",12,0.125,0.25,0.083,1,0.4,0.5,0.3,0.1,0.1,0.6,2.71,32.52
"597",799,"Delon Wright","SG",NA,29,"ATL",77,0.454,0.379,0.51,0.857,0.6,2.2,2.4,1.2,0.2,4.4,15.24,1173.48
"598",800,"McKinley Wright IV","PG",NA,23,"MIN",5,0.667,0.5,1,0,0,0,0.6,0,0,1,2.16,10.8
"599",801,"Moses Wright","PF",NA,23,"TOT",4,0.25,0,0.333,1,0.3,0.5,0.5,0,0.3,1.3,3.99,15.96
"600",804,"Gabe York","SG",NA,28,"IND",2,0.286,0.167,1,0.6,0,1,2,1,0.5,4,12.3,24.6
"601",805,"Thaddeus Young","PF",NA,33,"TOT",52,0.518,0.354,0.554,0.469,1.5,2.5,2,1,0.3,6.2,17.71,920.92
"602",808,"Trae Young","PG",NA,23,"ATL",76,0.46,0.382,0.512,0.904,0.7,3.1,9.7,0.9,0.1,28.4,54.255,4123.38
"603",809,"Omer Yurtseven","C",NA,23,"MIA",56,0.526,0.091,0.547,0.623,1.5,3.7,0.9,0.3,0.4,5.3,14.96,837.76
"604",810,"Cody Zeller","C",NA,29,"POR",27,0.567,0,0.593,0.776,1.9,2.8,0.8,0.3,0.2,5.2,13.635,368.145
"605",811,"Ivica Zubac","C",NA,24,"LAC",76,0.626,0,0.626,0.727,2.9,5.6,1.6,0.5,1,10.3,27.34,2077.84
